Mod:Item:MetaData, Localized Name
enderio:blockVacuumChest, Vacuum Chest
enderio:blockXPVacuum, XP Vacuum
enderio:blockWirelessCharger, Wireless Charger
enderio:blockEnchanter, Enchanter
enderio:blockSoulBinder, Soul Binder
enderio:blockSliceAndSplice, Slice'N'Splice
enderio:blockAttractor, Attractor Obelisk
enderio:blockSpawnGuard, Aversion Obelisk
enderio:blockSpawnRelocator, Relocator Obelisk
enderio:blockExperienceObelisk, Experience Obelisk
enderio:blockWeatherObelisk, Weather Obelisk
enderio:blockInhibitorObelisk, Inhibitor Obelisk
enderio:blockTransceiver, Dimensional Transceiver
enderio:blockBuffer:0, Item Buffer
enderio:blockBuffer:1, Power Buffer
enderio:blockBuffer:2, Omni Buffer
enderio:blockBuffer:3, Creative Buffer
enderio:blockInventoryPanel, Inventory Panel
enderio:blockInventoryChest:0, Tiny Inventory System Storage
enderio:blockInventoryChest:1, Small Inventory System Storage
enderio:blockInventoryChest:2, Medium Inventory System Storage
enderio:blockInventoryChest:3, Big Inventory System Storage
enderio:blockInventoryChest:4, Large Inventory System Storage
enderio:blockInventoryChest:5, Huge Inventory System Storage
enderio:blockInventoryChest:6, Enormous Inventory System Storage
enderio:blockInventoryChest:7, Inventory System Storage Warehouse
enderio:blockInventoryChest:8, Inventory System Storage Extended Warehouse
enderio:blockPoweredSpawner, Powered Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:itemBrokenSpawner:0, Broken Spawner
enderio:blockKillerJoe, Killer Joe
enderio:blockElectricLight:0, Powered Light
enderio:blockElectricLight:1, Powered Light (Inverted)
enderio:blockElectricLight:2, Light
enderio:blockElectricLight:3, Light (Inverted)
enderio:blockElectricLight:4, Wireless Powered Light
enderio:blockElectricLight:5, Wireless Powered Light (Inverted)
enderio:blockLightNode, tile.blockLightNode.name
enderio:blockDarkSteelAnvil:0, Dark Steel Anvil
enderio:blockDarkSteelAnvil:1, Slightly Damaged Dark Steel Anvil
enderio:blockDarkSteelAnvil:2, Very Damaged Dark Steel Anvil
enderio:blockDarkSteelLadder, Dark Steel Ladder
enderio:blockDarkIronBars, Dark Iron Bars
enderio:blockDarkSteelTrapdoor, Dark Steel Trapdoor
enderio:blockReinforcedObsidian, Reinforced Obsidian
enderio:blockIngotStorage:0, Electrical Steel Block
enderio:blockIngotStorage:1, Energetic Alloy Block
enderio:blockIngotStorage:2, Vibrant Alloy Block
enderio:blockIngotStorage:3, Redstone Alloy Block
enderio:blockIngotStorage:4, Conductive Iron Block
enderio:blockIngotStorage:5, Pulsating Iron Block
enderio:blockIngotStorage:6, Dark Steel Block
enderio:blockIngotStorage:7, Soularium Block
enderio:blockSelfResettingLever10, Self-resetting Lever (10 seconds)
enderio:blockSelfResettingLever30, Self-resetting Lever (30 seconds)
enderio:blockSelfResettingLever60, Self-resetting Lever (1 Minute)
enderio:blockSelfResettingLever300, Self-resetting Lever (5 Minutes)
enderio:blockDecoration1:0, Machine Chassis (decoration block)
enderio:blockDecoration1:1, Blank Machine (decoration block)
enderio:blockDecoration1:2, Machine Tops (decoration block)
enderio:blockDecoration1:3, Machine Sides (decoration block)
enderio:blockDecoration1:4, Machine Backs (decoration block)
enderio:blockDecoration1:5, Machine with sides (decoration block)
enderio:blockDecoration1:6, Machine width backs (decoration block)
enderio:blockDecoration1:7, Blank Soul Machine (decoration block)
enderio:blockDecoration1:8, Soul Machine Tops (decoration block)
enderio:blockDecoration1:9, Soul Machine Sides (decoration block)
enderio:blockDecoration1:10, Soul Machine Backs (decoration block)
enderio:blockDecoration1:11, Soul Machine with sides (decoration block)
enderio:blockDecoration1:12, Soul Machine width backs (decoration block)
enderio:blockDecoration1:13, Red Machine (decoration block)
enderio:blockDecoration1:14, Broken Spawner (decoration block)
enderio:blockDecoration1:15, Invisible Block (decoration block)
enderio:blockDecoration2:0, Alloy Smelter (decoration block)
enderio:blockDecoration2:1, Item Buffer (decoration block)
enderio:blockDecoration2:2, Power Buffer (decoration block)
enderio:blockDecoration2:3, Omni Buffer (decoration block)
enderio:blockDecoration2:4, Creative Buffer (decoration block)
enderio:blockDecoration2:5, Crafter (decoration block)
enderio:blockDecoration2:6, Painting Machine (decoration block)
enderio:blockDecoration2:7, Power Monitor (decoration block)
enderio:blockDecoration2:8, SAG Mill (decoration block)
enderio:blockDecoration2:9, Slice'N'Splice (decoration block)
enderio:blockDecoration2:10, Stirling Generator (decoration block)
enderio:blockDecoration2:11, Fluid Tank (decoration block)
enderio:blockDecoration2:12, Pressurized Fluid Tank (decoration block)
enderio:blockDecoration2:13, Travel Anchor (decoration block)
enderio:blockDecoration2:14, Vacuum Chest (decoration block)
enderio:blockDecoration2:15, Wireless Charger (decoration block)
enderio:blockPainter, Painting Machine
enderio:blockPaintedSlab, Painted Slab
enderio:blockPaintedStoneSlab, Painted Stone Slab
enderio:blockPaintedPressurePlate:1, Wooden Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:3, Stone Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:5, Weighted Pressure Plate (Heavy) (Silent)
enderio:blockPaintedPressurePlate:7, Weighted Pressure Plate (Light) (Silent)
enderio:blockPaintedPressurePlate:8, Dark Pressure Plate
enderio:blockPaintedPressurePlate:9, Dark Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:10, Soularium Pressure Plate
enderio:blockPaintedPressurePlate:11, Soularium Pressure Plate (Silent)
enderio:blockPaintedPressurePlate:12, Soularium Pressure Plate (Tuned)
enderio:blockPaintedPressurePlate:13, Soularium Pressure Plate (Tuned) (Silent)
enderio:blockExitRail, Exit Rail
enderio:itemConduitProbe:0, Conduit Probe
enderio:itemYetaWrench, Yeta Wrench
enderio:itemXpTransfer:0, Experience Rod
enderio:itemColdFireIgniter, Cold Fire Igniter
enderio:blockTravelAnchor, Travel Anchor
enderio:blockTelePad, Telepad Block
enderio:blockDialingDevice, Dialing Device
enderio:itemCoordSelector, Coordinate Selector
enderio:itemLocationPrintout, Location Printout
enderio:itemTravelStaff:0, Staff of Traveling
enderio:itemTravelStaff:0, Staff of Traveling
enderio:itemRodOfReturn:0, Rod of Return
enderio:itemRodOfReturn:0, Rod of Return
enderio:blockEndermanSkull:0, Enderman Head
enderio:blockEndermanSkull:2, Tormented Enderman Head
enderio:itemFrankenSkull:0, Zombie Electrode
enderio:itemFrankenSkull:1, Z-Logic Controller
enderio:itemFrankenSkull:2, Frank'N'Zombie
enderio:itemFrankenSkull:3, Ender Resonator
enderio:itemFrankenSkull:4, Sentient Ender
enderio:itemFrankenSkull:5, Skeletal Contractor
enderio:itemEnderFood:0, "Enderios"
enderio:blockGauge, RF Gauge
enderio:itemRemoteInvAccess:0, Inventory Panel Remote
enderio:itemRemoteInvAccess:0, Inventory Panel Remote
enderio:itemRemoteInvAccess:1, Advanced Inventory Panel Remote
enderio:itemRemoteInvAccess:1, Advanced Inventory Panel Remote
enderio:itemRemoteInvAccess:2, Ender Inventory Panel Remote
enderio:itemRemoteInvAccess:2, Ender Inventory Panel Remote
enderio:blockInventoryPanelSensor, Inventory Sensor
enderio:blockFusedQuartz:0, Fused Quartz
enderio:blockFusedQuartz:1, Quite Clear Glass
enderio:blockFusedQuartz:2, Enlightened Fused Quartz
enderio:blockFusedQuartz:3, Enlightened Clear Glass
enderio:blockFusedQuartz:4, Dark Fused Quartz
enderio:blockFusedQuartz:5, Dark Clear Glass
enderio:blockFusedQuartz_fusedQuartz:1, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:2, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:3, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:4, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:5, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:6, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:7, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:8, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:9, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:10, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:11, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:12, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:13, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:14, Fused Quartz
enderio:blockFusedQuartz_fusedQuartz:15, Fused Quartz
enderio:blockFusedQuartz_fusedGlass:1, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:2, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:3, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:4, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:5, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:6, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:7, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:8, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:9, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:10, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:11, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:12, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:13, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:14, Quite Clear Glass
enderio:blockFusedQuartz_fusedGlass:15, Quite Clear Glass
enderio:blockFusedQuartz_enlightenedFusedQuartz:1, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:2, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:3, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:4, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:5, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:6, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:7, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:8, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:9, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:10, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:11, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:12, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:13, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:14, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedQuartz:15, Enlightened Fused Quartz
enderio:blockFusedQuartz_enlightenedFusedGlass:1, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:2, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:3, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:4, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:5, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:6, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:7, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:8, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:9, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:10, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:11, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:12, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:13, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:14, Enlightened Clear Glass
enderio:blockFusedQuartz_enlightenedFusedGlass:15, Enlightened Clear Glass
enderio:blockFusedQuartz_darkFusedQuartz:1, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:2, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:3, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:4, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:5, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:6, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:7, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:8, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:9, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:10, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:11, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:12, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:13, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:14, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedQuartz:15, Dark Fused Quartz
enderio:blockFusedQuartz_darkFusedGlass:1, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:2, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:3, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:4, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:5, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:6, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:7, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:8, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:9, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:10, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:11, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:12, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:13, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:14, Dark Clear Glass
enderio:blockFusedQuartz_darkFusedGlass:15, Dark Clear Glass
enderio:itemSoulVessel, Soul Vial
enderio:itemGliderWing:0, Glider Wing
enderio:itemGliderWing:1, Glider Wings
enderio:darkSteel_helmet, Dark Helm
enderio:darkSteel_chestplate, Dark Plate
enderio:darkSteel_leggings, Dark Leggings
enderio:darkSteel_boots, Dark Boots
enderio:darkSteel_sword, The Ender
enderio:darkSteel_pickaxe, Dark Pick
enderio:darkSteel_axe, Dark Axe
enderio:darkSteelBow, Dark Bow
enderio:darkSteel_shears, Dark Shears
enderio:itemMagnet:0, Electromagnet
enderio:itemMagnet:0, Electromagnet
enderstorage:enderStorage:0, Ender Chest
enderstorage:enderStorage:1, Ender Tank
enderstorage:enderPouch, Ender Pouch
environmentaltech:hardened_stone:0, Hardened Stone
environmentaltech:hardened_stone:1, Hardened Stone Paver
environmentaltech:hardened_stone:2, Hardened Stone Bricks
environmentaltech:hardened_stone:3, Hardened Stone Tiles
environmentaltech:hardened_stone_stairs, Hardened Stone Stairs
environmentaltech:hardened_stone_brick_stairs, Hardened Stone Brick Stairs
environmentaltech:hardened_stone_slab:0, Hardened Stone Slab
environmentaltech:hardened_stone_paver_slab:0, Hardened Stone Paver Slab
environmentaltech:hardened_stone_brick_slab:0, Hardened Stone Brick Slab
environmentaltech:basalt:0, Basalt
environmentaltech:basalt:1, Basalt Paver
environmentaltech:basalt:2, Basalt Bricks
environmentaltech:basalt:3, Basalt Tiles
environmentaltech:basalt_stairs, Basalt Stairs
environmentaltech:basalt_brick_stairs, Basalt Brick Stairs
environmentaltech:basalt_slab:0, Basalt Slab
environmentaltech:basalt_paver_slab:0, Basalt Paver Slab
environmentaltech:basalt_brick_slab:0, Basalt Brick Slab
environmentaltech:alabaster:0, Alabaster
environmentaltech:alabaster:1, Alabaster Paver
environmentaltech:alabaster:2, Alabaster Bricks
environmentaltech:alabaster:3, Alabaster Tiles
environmentaltech:alabaster_stairs, Alabaster Stairs
environmentaltech:alabaster_brick_stairs, Alabaster Brick Stairs
environmentaltech:alabaster_slab:0, Alabaster Slab
environmentaltech:alabaster_paver_slab:0, Alabaster Paver Slab
environmentaltech:alabaster_brick_slab:0, Alabaster Brick Slab
environmentaltech:lonsdaleite:0, Lonsdaleite
environmentaltech:lonsdaleite:1, Lonsdaleite Paver
environmentaltech:lonsdaleite:2, Lonsdaleite Bricks
environmentaltech:lonsdaleite:3, Lonsdaleite Tiles
environmentaltech:lonsdaleite_stairs, Lonsdaleite Stairs
environmentaltech:lonsdaleite_brick_stairs, Lonsdaleite Brick Stairs
environmentaltech:lonsdaleite_slab:0, Lonsdaleite Slab
environmentaltech:lonsdaleite_paver_slab:0, Lonsdaleite Paver Slab
environmentaltech:lonsdaleite_brick_slab:0, Lonsdaleite Brick Slab
environmentaltech:sand_enriched, Enriched Sand
environmentaltech:glass_clear, Clear Glass
environmentaltech:mica, Mica
environmentaltech:basalt_structure:0, Basalt Structure Block Tier 1
environmentaltech:basalt_structure:1, Basalt Structure Block Tier 2
environmentaltech:basalt_structure:2, Basalt Structure Block Tier 3
environmentaltech:basalt_structure:3, Basalt Structure Block Tier 4
environmentaltech:alabaster_structure:0, Alabaster Structure Block Tier 1
environmentaltech:alabaster_structure:1, Alabaster Structure Block Tier 2
environmentaltech:alabaster_structure:2, Alabaster Structure Block Tier 3
environmentaltech:alabaster_structure:3, Alabaster Structure Block Tier 4
environmentaltech:hardened_stone_structure:0, Hardened Stone Structure Block Tier 1
environmentaltech:hardened_stone_structure:1, Hardened Stone Structure Block Tier 2
environmentaltech:hardened_stone_structure:2, Hardened Stone Structure Block Tier 3
environmentaltech:hardened_stone_structure:3, Hardened Stone Structure Block Tier 4
environmentaltech:basalt_machine_base, Basalt Machine Base
environmentaltech:alabaster_machine_base, Alabaster Machine Base
environmentaltech:hardened_stone_machine_base, Hardened Stone Machine Base
environmentaltech:controller_solar_1, Solar Panel Controller Tier 1
environmentaltech:controller_solar_2, Solar Panel Controller Tier 2
environmentaltech:controller_solar_3, Solar Panel Controller Tier 3
environmentaltech:controller_solar_4, Solar Panel Controller Tier 4
environmentaltech:controller_lightning_1, Lightning Rod Controller Tier 1
environmentaltech:controller_lightning_2, Lightning Rod Controller Tier 2
environmentaltech:controller_lightning_3, Lightning Rod Controller Tier 3
environmentaltech:controller_lightning_4, Lightning Rod Controller Tier 4
environmentaltech:controller_void_ore_miner_1, Void Ore Miner Controller Tier 1
environmentaltech:controller_void_ore_miner_2, Void Ore Miner Controller Tier 2
environmentaltech:controller_void_ore_miner_3, Void Ore Miner Controller Tier 3
environmentaltech:controller_void_ore_miner_4, Void Ore Miner Controller Tier 4
environmentaltech:controller_void_res_miner_1, Void Resource Miner Controller Tier 1
environmentaltech:controller_void_res_miner_2, Void Resource Miner Controller Tier 2
environmentaltech:controller_void_res_miner_3, Void Resource Miner Controller Tier 3
environmentaltech:controller_void_res_miner_4, Void Resource Miner Controller Tier 4
environmentaltech:controller_nano_bot_beacon_1, Nano Bot Beacon Controller Tier 1
environmentaltech:controller_nano_bot_beacon_2, Nano Bot Beacon Controller Tier 2
environmentaltech:controller_nano_bot_beacon_3, Nano Bot Beacon Controller Tier 3
environmentaltech:controller_nano_bot_beacon_4, Nano Bot Beacon Controller Tier 4
environmentaltech:solar_1, Solar Cell
environmentaltech:lightning_rod, Lightning Rod
environmentaltech:lightning_rod_insulated, Insulated Lightning Rod
environmentaltech:laser_core, Laser Core
environmentaltech:lens, Clear Lens
environmentaltech:lens_colored:0, White Lens
environmentaltech:lens_colored:1, Orange Lens
environmentaltech:lens_colored:2, Magenta Lens
environmentaltech:lens_colored:3, Light Blue Lens
environmentaltech:lens_colored:4, Yellow Lens
environmentaltech:lens_colored:5, Lime Lens
environmentaltech:lens_colored:6, Pink Lens
environmentaltech:lens_colored:7, Gray Lens
environmentaltech:lens_colored:8, Light Gray Lens
environmentaltech:lens_colored:9, Cyan Lens
environmentaltech:lens_colored:10, Purple Lens
environmentaltech:lens_colored:11, Blue Lens
environmentaltech:lens_colored:12, Brown Lens
environmentaltech:lens_colored:13, Green Lens
environmentaltech:lens_colored:14, Red Lens
environmentaltech:lens_colored:15, Black Lens
environmentaltech:modifier_core, Modifier Core
environmentaltech:modifier_speed_1, Speed Modifier
environmentaltech:modifier_piezo_1, Piezo Modifier
environmentaltech:modifier_accuracy_1, Accuracy Modifier
environmentaltech:modifier_flight, Flight Modifier
environmentaltech:modifier_night_vision, Night Vision Modifier
environmentaltech:modifier_haste, Haste Modifier
environmentaltech:modifier_strength, Strength Modifier
environmentaltech:modifier_water_breathing, Water Breathing Modifier
environmentaltech:modifier_regen, Regen Modifier
environmentaltech:modifier_saturation, Saturation Modifier
environmentaltech:modifier_resistance, Resistance Modifier
environmentaltech:modifier_jump_boost, Jump Boost Modifier
environmentaltech:modifier_fire_resistance, Fire Resistance Modifier
environmentaltech:launcher_1, Launcher
environmentaltech:lens_item, Lens
environmentaltech:photovoltaic_cell, Photovoltaic Cell
environmentaltech:tool_multiblock_assembler, Assembler
environmentaltech:ender_stabilized, Stabilized Ender Pearl
environmentaltech:lonsdaleite_shard, Lonsdaleite Shard
environmentaltech:digital_guide, Digital Guide [WIP]
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical_planks
extrautils2:decorativesolidwood:1, Magical_wood
extrautils2:decorativesolidwood:2, Diagonalwood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Item Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, 
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
